,prompt,answer,top_predictions,score
31,"Q: Is the following sentence plausible? ""Philip Rivers launched a hail mary.""
A: The answer is ->",yes,"['no', 'yes', 'es', 'Yes', 'No']",False
32,"Q: Is the following sentence plausible? ""Seth Jones earned a trip to the penalty box.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
33,"Q: Is the following sentence plausible? ""Mason Plumlee did a maradona on the defender.""
A: The answer is ->",no,"['no', 'basketball', 'yes', 'No', 'o']",True
34,"Q: Is the following sentence plausible? ""Golden Tate was flagged on the play in the NFC championship.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
35,"Q: Is the following sentence plausible? ""Jayson Tatum was caught offsides in the Champions Leage Semifinal.""
A: The answer is ->",no,"['no', 'yes', 'No', 'basketball', 'o']",True
36,"Q: Is the following sentence plausible? ""Brandon Ingram shot the puck.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'es']",True
37,"Q: Is the following sentence plausible? ""Alex Bregman earned an indirect kick.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'No', 'o']",True
38,"Q: Is the following sentence plausible? ""Stephen Strasburg performed a cruyff turn.""
A: The answer is ->",no,"['no', 'baseball', 'yes', 'o', 'soccer']",True
39,"Q: Is the following sentence plausible? ""Gardner Minshew was safe at home.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'No', 'football']",True
40,"Q: Is the following sentence plausible? ""Donovan Mitchell took a turnaround jumper.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
41,"Q: Is the following sentence plausible? ""Tyler Boyd hit the screen pass in the NFC divisional round.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
42,"Q: Is the following sentence plausible? ""Mario Gomez scored a reverse layup.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'basketball', 'No']",True
43,"Q: Is the following sentence plausible? ""Khyri Thomas\xc2\xa0 committed a three second violation in the NBA Championship.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
44,"Q: Is the following sentence plausible? ""John Carlson fumbled the ball.""
A: The answer is ->",no,"['no', 'yes', 'No', 'Yes', 'yeah']",True
45,"Q: Is the following sentence plausible? ""Jack Eichel got into the endzone.""
A: The answer is ->",no,"['no', 'yes', 'football', 'No', 'hockey']",True
46,"Q: Is the following sentence plausible? ""Kawhi Leonard hit the slant pass.""
A: The answer is ->",no,"['no', 'yes', 'es', 'yeah', 'Yes']",True
47,"Q: Is the following sentence plausible? ""Marek Hamsik skated behind the net.""
A: The answer is ->",no,"['no', 'yes', 'No', 'hockey', 'o']",True
48,"Q: Is the following sentence plausible? ""Carles Puyol banked the shot in.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'No', 'basketball']",True
49,"Q: Is the following sentence plausible? ""Courtland Sutton hit a triple.""
A: The answer is ->",no,"['no', 'yes', 'o', 'yeah', 'No']",True
50,"Q: Is the following sentence plausible? ""J.T. Miller took a three.""
A: The answer is ->",no,"['yes', 'no', 'es', 'No', 'yeah']",False
51,"Q: Is the following sentence plausible? ""Evgeni Malkin hit a single.""
A: The answer is ->",no,"['no', 'yes', 'No', 'hockey', 'o']",True
52,"Q: Is the following sentence plausible? ""Sam Darnold scored on the power play in the Stanley Cup.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'hockey']",True
53,"Q: Is the following sentence plausible? ""Jack Flaherty pitched a shutout in the National League Championship Series.""
A: The answer is ->",yes,"['yes', 'es', 'yeah', 'YES', 'Yes']",True
54,"Q: Is the following sentence plausible? ""Tyler Lockett caught the back shoulder fade.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
55,"Q: Is the following sentence plausible? ""Gardner Minshew was out at second.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'No', 'football']",True
56,"Q: Is the following sentence plausible? ""Arjen Robben crossed the blue line in the Stanley Cup.""
A: The answer is ->",no,"['no', 'yes', 'No', 'soccer', 'o']",True
57,"Q: Is the following sentence plausible? ""Deandre Ayton shot from beyond the arc.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
58,"Q: Is the following sentence plausible? ""Radamel Falcao earned an indirect kick.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
59,"Q: Is the following sentence plausible? ""Mookie Betts took a side-step three.""
A: The answer is ->",no,"['no', 'yes', 'o', 'basketball', 'No']",True
60,"Q: Is the following sentence plausible? ""Michael Thomas took the snap.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
61,"Q: Is the following sentence plausible? ""Jose Altuve was out at first.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'YES', 'yeah']",True
62,"Q: Is the following sentence plausible? ""Gleyber Torres got a base hit.""
A: The answer is ->",yes,"['yes', 'YES', 'Yes', 'es', 'yeah']",True
63,"Q: Is the following sentence plausible? ""De\'Aaron Fox airballed the shot.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
64,"Q: Is the following sentence plausible? ""Teuvo Teravainen shot the puck.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
65,"Q: Is the following sentence plausible? ""Fernandinho converted the first down.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
66,"Q: Is the following sentence plausible? ""Javier Pastore went five hole.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
67,"Q: Is the following sentence plausible? ""Eugenio Suarez hit a walkoff homer in the National League Championship Series.""
A: The answer is ->",yes,"['no', 'yes', 'baseball', 'No', 'o']",False
68,"Q: Is the following sentence plausible? ""Miro Heiskanen earned a trip to the penalty box.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'no', 'yeah']",True
69,"Q: Is the following sentence plausible? ""Claude Giroux killed the powerplay in the Stanley Cup.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'YES']",True
70,"Q: Is the following sentence plausible? ""Michael Porter Jr. called for the screen.""
A: The answer is ->",yes,"['no', 'yes', 'basketball', 'o', 'shooting']",False
71,"Q: Is the following sentence plausible? ""Miles Bridges hit the slant pass in the AFC divisional round.""
A: The answer is ->",no,"['no', 'yes', 'basketball', 'football', 'No']",True
72,"Q: Is the following sentence plausible? ""David Pastrnak skated backwards.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
73,"Q: Is the following sentence plausible? ""Wayne Rooney threw a touchdown in the Superbowl.""
A: The answer is ->",no,"['no', 'soccer', 'football', 'yes', 'o']",True
74,"Q: Is the following sentence plausible? ""Mesut Ozil wristed a shot.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'No', 'yeah']",True
75,"Q: Is the following sentence plausible? ""Patrice Bergeron converted the first down.""
A: The answer is ->",no,"['no', 'yes', 'hockey', 'No', 'o']",True
76,"Q: Is the following sentence plausible? ""Kwadwo Asamoah was flagged on the play.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o', 'football']",True
77,"Q: Is the following sentence plausible? ""Yu Darvish threw to first base.""
A: The answer is ->",yes,"['yes', 'YES', 'es', 'Yes', 'yeah']",True
78,"Q: Is the following sentence plausible? ""Chris Kreider got on the end of a through ball.""
A: The answer is ->",no,"['no', 'yes', 'No', 'soccer', 'o']",True
79,"Q: Is the following sentence plausible? ""Pete Alonso hit a homerun.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'yeah', 'YES']",True
80,"Q: Is the following sentence plausible? ""Adam Thielen got on base.""
A: The answer is ->",no,"['yes', 'no', 'es', 'yeah', 'Yes']",False
81,"Q: Is the following sentence plausible? ""Yordan Alvarez grounded out to second base.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
82,"Q: Is the following sentence plausible? ""Whit Merrifield watched the pitch go by in the National League Championship Series.""
A: The answer is ->",yes,"['yes', 'YES', 'es', 'Yes', 'yeah']",True
83,"Q: Is the following sentence plausible? ""Luis Suarez got on the end of a through ball.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
84,"Q: Is the following sentence plausible? ""Bam Adebayo took a turnaround jumper.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'YES']",True
85,"Q: Is the following sentence plausible? ""Marcell Ozuna shot from the six yard line.""
A: The answer is ->",no,"['no', 'yes', 'o', 'No', 'n']",True
86,"Q: Is the following sentence plausible? ""Jimmy Butler eurostepped to the basket.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
87,"Q: Is the following sentence plausible? ""Javi Martinez comitted a three second violation.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'basketball', 'No']",True
88,"Q: Is the following sentence plausible? ""Thiago Silva took a backhand shot in the Stanley Cup.""
A: The answer is ->",no,"['no', 'yes', 'No', 'soccer', 'o']",True
89,"Q: Is the following sentence plausible? ""Fernando Tatis Jr. hit a walkoff homer.""
A: The answer is ->",yes,"['yes', 'no', 'baseball', 'yeah', 'es']",True
90,"Q: Is the following sentence plausible? ""Will Fuller hit a walkoff homer.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'o', 'No']",True
91,"Q: Is the following sentence plausible? ""Carlos Correa headed back to the dugout.""
A: The answer is ->",yes,"['yes', 'YES', 'Yes', 'es', 'yeah']",True
92,"Q: Is the following sentence plausible? ""Tyler Boyd airballed the shot.""
A: The answer is ->",no,"['no', 'yes', 'basketball', 'football', 'o']",True
93,"Q: Is the following sentence plausible? ""Nerlens Noel went for it on fourth down.""
A: The answer is ->",no,"['no', 'yes', 'football', 'o', 'basketball']",True
94,"Q: Is the following sentence plausible? ""Philip Rivers hit a triple.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'o', 'No']",True
95,"Q: Is the following sentence plausible? ""Angel Di Maria got on the end of a through ball in the Champions League Final.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
96,"Q: Is the following sentence plausible? ""Diego Forlan hit the back shoulder fade in the Superbowl.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'football', 'No']",True
97,"Q: Is the following sentence plausible? ""Tom Wilson scored a penalty kick.""
A: The answer is ->",no,"['no', 'yes', 'No', 'soccer', 'o']",True
98,"Q: Is the following sentence plausible? ""Kyle Lowry dunked the ball.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
99,"Q: Is the following sentence plausible? ""Al Horford scored in the shootout.""
A: The answer is ->",no,"['no', 'yes', 'No', 'basketball', 'o']",True
100,"Q: Is the following sentence plausible? ""Radamel Falcao airballed the shot in the Eastern Conference Finals.""
A: The answer is ->",no,"['no', 'soccer', 'yes', 'football', 'basketball']",True
101,"Q: Is the following sentence plausible? ""Connor McDavid wristed a shot.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
102,"Q: Is the following sentence plausible? ""Bastian Schweinsteiger scored in added time.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
103,"Q: Is the following sentence plausible? ""Jonas Valanciunas comitted an offensive foul.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'YES']",True
104,"Q: Is the following sentence plausible? ""Nikola Jokic passed the puck.""
A: The answer is ->",no,"['no', 'yes', 'No', 'hockey', 'NO']",True
105,"Q: Is the following sentence plausible? ""J.T. Realmuto hit a homerun in the American League Championship Series.""
A: The answer is ->",yes,"['yes', 'no', 'YES', 'yeah', 'es']",True
106,"Q: Is the following sentence plausible? ""Joey Gallo nutmegged the defender.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'o', 'soccer']",True
107,"Q: Is the following sentence plausible? ""Christian Yelich went in studs up in the World Cup.""
A: The answer is ->",no,"['no', 'baseball', 'yes', 'soccer', 'o']",True
108,"Q: Is the following sentence plausible? ""Trevor Story hit the wheel route in the AFC divisional round.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'No', 'o']",True
109,"Q: Is the following sentence plausible? ""Yaya Toure scored a freekick.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
110,"Q: Is the following sentence plausible? ""Sergio Ramos hit nothing but net.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'basketball']",True
111,"Q: Is the following sentence plausible? ""Alex Bregman flew out to center.""
A: The answer is ->",yes,"['yes', 'YES', 'Yes', 'es', 'yeah']",True
112,"Q: Is the following sentence plausible? ""Sergio Ramos took a corner three in the Eastern Conference Finals.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'o', 'No']",True
113,"Q: Is the following sentence plausible? ""Patrice Evra scored in the shootout.""
A: The answer is ->",no,"['no', 'soccer', 'yes', 'No', 'football']",True
114,"Q: Is the following sentence plausible? ""Fred VanVleet was called for the goal tend.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
115,"Q: Is the following sentence plausible? ""Neymar did a maradona on the defender in the Champions Leage Semifinal.""
A: The answer is ->",yes,"['yes', 'no', 'yeah', 'Yes', 'YES']",True
116,"Q: Is the following sentence plausible? ""Vincent Kompany committed a handball.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
117,"Q: Is the following sentence plausible? ""Jacob Markstrom entered the attacking zone in the Stanley Cup.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'yeah']",True
118,"Q: Is the following sentence plausible? ""Luis Suarez fumbled the ball.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'football', 'No']",True
119,"Q: Is the following sentence plausible? ""Calvin Ridley drove into the paint.""
A: The answer is ->",no,"['yes', 'no', 'es', 'yeah', 'Yes']",False
120,"Q: Is the following sentence plausible? ""Adam Thielen performed a slide tackle.""
A: The answer is ->",no,"['no', 'yes', 'es', 'No', 'yeah']",True
121,"Q: Is the following sentence plausible? ""Marcell Ozuna took a backhand shot in the Stanley Cup.""
A: The answer is ->",no,"['no', 'yes', 'No', 'baseball', 'o']",True
122,"Q: Is the following sentence plausible? ""Ketel Marte was out at second.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'yeah', 'Yes']",True
123,"Q: Is the following sentence plausible? ""Matt Ryan scored a penalty kick.""
A: The answer is ->",no,"['no', 'yes', 'No', 'soccer', 'football']",True
124,"Q: Is the following sentence plausible? ""Wayne Rooney beat the buzzer.""
A: The answer is ->",no,"['no', 'soccer', 'football', 'yes', 'o']",True
125,"Q: Is the following sentence plausible? ""Thomas Muller did a double stepover.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'YES']",True
126,"Q: Is the following sentence plausible? ""Amari Cooper scored a penalty kick.""
A: The answer is ->",no,"['no', 'yes', 'o', 'football', 'No']",True
127,"Q: Is the following sentence plausible? ""Mitchell Marner wristed a shot.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
128,"Q: Is the following sentence plausible? ""Max Pacioretty spent time in the penalty box.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'yeah', 'no']",True
129,"Q: Is the following sentence plausible? ""Moussa Dembele gained five yards.""
A: The answer is ->",no,"['no', 'yes', 'football', 'soccer', 'o']",True
130,"Q: Is the following sentence plausible? ""Domantas Sabonis gained five yards in the AFC championship.""
A: The answer is ->",no,"['no', 'yes', 'o', 'football', 'basketball']",True
131,"Q: Is the following sentence plausible? ""Drew Brees was flagged on the play.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
132,"Q: Is the following sentence plausible? ""Jaylen Brown comitted a three second violation.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'YES']",True
133,"Q: Is the following sentence plausible? ""Darius Slayton gained five yards.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
134,"Q: Is the following sentence plausible? ""Jayson Tatum took a side-step three in the NBA Championship.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
135,"Q: Is the following sentence plausible? ""Freddie Freeman worked a full count.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'YES', 'yeah']",True
136,"Q: Is the following sentence plausible? ""Sterling Shepard changed direction in the backfield.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'YES']",True
137,"Q: Is the following sentence plausible? ""Robin Lehner launched a hail mary.""
A: The answer is ->",no,"['no', 'yes', 'No', 'hockey', 'o']",True
138,"Q: Is the following sentence plausible? ""Tuukka Rask killed the powerplay.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
139,"Q: Is the following sentence plausible? ""Travis Konecny did a maradona on the defender.""
A: The answer is ->",no,"['no', 'yes', 'hockey', 'No', 'o']",True
140,"Q: Is the following sentence plausible? ""Jacob Markstrom backhanded a shot.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
141,"Q: Is the following sentence plausible? ""Freddie Freeman scored a bicycle kick.""
A: The answer is ->",no,"['no', 'baseball', 'yes', 'o', 'No']",True
142,"Q: Is the following sentence plausible? ""Jared Goff scored in added time.""
A: The answer is ->",no,"['no', 'yes', 'No', 'yeah', 'es']",True
143,"Q: Is the following sentence plausible? ""Javier Zanetti watched the pitch go by in the National League Championship Series.""
A: The answer is ->",no,"['no', 'soccer', 'football', 'yes', 'baseball']",True
144,"Q: Is the following sentence plausible? ""Tim Anderson went in studs up in the European Cup.""
A: The answer is ->",no,"['no', 'yes', 'baseball', 'o', 'soccer']",True
145,"Q: Is the following sentence plausible? ""Caris LeVert scored a reverse layup.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'no', 'yeah']",True
146,"Q: Is the following sentence plausible? ""Juan Soto scored in the third period.""
A: The answer is ->",no,"['no', 'yes', 'No', 'baseball', 'o']",True
147,"Q: Is the following sentence plausible? ""Brad Hand hit a double.""
A: The answer is ->",yes,"['yes', 'YES', 'es', 'Yes', 'yeah']",True
148,"Q: Is the following sentence plausible? ""Carter Hart eurostepped to the basket.""
A: The answer is ->",no,"['no', 'yes', 'basketball', 'o', 'No']",True
149,"Q: Is the following sentence plausible? ""Connor Hellebuyck hit a triple.""
A: The answer is ->",no,"['no', 'yes', 'hockey', 'No', 'o']",True
150,"Q: Is the following sentence plausible? ""Jerry Jeudy scored on the power play.""
A: The answer is ->",no,"['no', 'yes', 'o', 'football', 'No']",True
151,"Q: Is the following sentence plausible? ""Aleksander Barkov took to the ice.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'YES']",True
152,"Q: Is the following sentence plausible? ""Mark Scheifele skated backwards.""
A: The answer is ->",yes,"['yes', 'Yes', 'no', 'es', 'yeah']",True
153,"Q: Is the following sentence plausible? ""Ben Simmons banked the shot in.""
A: The answer is ->",yes,"['yes', 'es', 'no', 'Yes', 'yeah']",True
154,"Q: Is the following sentence plausible? ""Neymar did a double stepover.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'YES', 'es']",True
155,"Q: Is the following sentence plausible? ""Mike Moustakas watched the pitch go by.""
A: The answer is ->",yes,"['yes', 'Yes', 'YES', 'es', 'yeah']",True
156,"Q: Is the following sentence plausible? ""Leon Draisaitl grounded out to second base in the National League Championship Series.""
A: The answer is ->",no,"['no', 'baseball', 'yes', 'No', 'hockey']",True
157,"Q: Is the following sentence plausible? ""Chris Boucher comitted a three second violation.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'YES', 'no']",True
158,"Q: Is the following sentence plausible? ""Didier Drogba earned an indirect kick.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'yeah', 'es']",True
159,"Q: Is the following sentence plausible? ""Hulk hit a triple.""
A: The answer is ->",no,"['yes', 'no', 'baseball', 'yeah', 'es']",False
160,"Q: Is the following sentence plausible? ""Jack Flaherty walked to first base in the National League Championship Series.""
A: The answer is ->",yes,"['yes', 'es', 'YES', 'yeah', 'Yes']",True
161,"Q: Is the following sentence plausible? ""Dejounte Murray took a left footed shot.""
A: The answer is ->",no,"['no', 'yes', 'basketball', 'o', 'No']",True
162,"Q: Is the following sentence plausible? ""Darijo Srna eurostepped to the basket.""
A: The answer is ->",no,"['no', 'yes', 'soccer', 'football', 'basketball']",True
163,"Q: Is the following sentence plausible? ""William Nylander skated behind the net.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'no', 'YES']",True
164,"Q: Is the following sentence plausible? ""John Carlson entered the attacking zone.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'yeah', 'es']",True
165,"Q: Is the following sentence plausible? ""Eugenio Suarez pitched a complete game.""
A: The answer is ->",yes,"['no', 'yes', 'baseball', 'yeah', 'o']",False
166,"Q: Is the following sentence plausible? ""Kyle Tucker pitched a shutout.""
A: The answer is ->",yes,"['yes', 'YES', 'Yes', 'es', 'yeah']",True
167,"Q: Is the following sentence plausible? ""Aaron Rodgers was flagged on the play.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
168,"Q: Is the following sentence plausible? ""Timo Meier nutmegged the defender in the FA Cup.""
A: The answer is ->",no,"['no', 'yes', 'No', 'o']",True
169,"Q: Is the following sentence plausible? ""Josh Hader scored a touchdown.""
A: The answer is ->",no,"['no', 'baseball', 'yes', 'football', 'o']",True
170,"Q: Is the following sentence plausible? ""Malik Beasley\xc2\xa0 comitted a three second violation.""
A: The answer is ->",yes,"['yes', 'Yes', 'es', 'YES']",True
171,"Q: Is the following sentence plausible? ""Eden Hazard took a corner kick.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'YES']",True
172,"Q: Is the following sentence plausible? ""J.D. Martinez hit a homerun.""
A: The answer is ->",yes,"['yes', 'yeah', 'Yes', 'YES', 'no']",True
173,"Q: Is the following sentence plausible? ""Anders Lee went in studs up in the Champions League Final.""
A: The answer is ->",no,"['no', 'yes', 'No', 'soccer', 'o']",True
174,"Q: Is the following sentence plausible? ""Matt Chapman hit a walkoff homer.""
A: The answer is ->",yes,"['yes', 'Yes', 'YES', 'yeah', 'es']",True
175,"Q: Is the following sentence plausible? ""Samir Nasri performed a cruyff turn.""
A: The answer is ->",yes,"['yes', 'no', 'Yes', 'es', 'yeah']",True
176,"Q: Is the following sentence plausible? ""Jarrett Allen fumbled the ball.""
A: The answer is ->",no,"['no', 'yes', 'football', 'basketball', 'n']",True
177,"Q: Is the following sentence plausible? ""Jerry Jeudy caught the back shoulder fade.""
A: The answer is ->",yes,"['yes', 'no', 'es', 'Yes', 'yeah']",True
178,"Q: Is the following sentence plausible? ""Stephen Curry comitted a three second violation.""
A: The answer is ->",yes,"['yes', 'es', 'Yes', 'no', 'YES']",True
179,"Q: Is the following sentence plausible? ""Mike Trout hit a double.""
A: The answer is ->",yes,"['yes', 'no', 'yeah', 'es', 'YES']",True
180,"Q: Is the following sentence plausible? ""Vladimir Guerrero Jr. walked to first base.""
A: The answer is ->",yes,"['yes', 'es', 'YES', 'Yes', 'no']",True
