{'statement': 'Someone is looking for an expensive restaurant. Between Nook and Thompson Rooftop, this person should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': 'Someone is looking for an expensive restaurant. Between Bake Island and Cantine Bar & Grill, this person should go to Cantine Bar & Grill.', 'answer': 'Cantine Bar & Grill', 'candidate': 'Bake Island'}
{'statement': "Someone is looking for an expensive restaurant. Between Edible Arrangements and Watson's, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Watson's"}
{'statement': 'Someone is looking for an expensive restaurant. Between Pizza Pizza and Hina Sushi, this person should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Pizza Pizza'}
{'statement': 'Someone is looking for an expensive restaurant. Between Lahore Grill & Fast Food and 9 Restaurant, this person should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "Someone is looking for an expensive restaurant. Between Maurya East Indian Roti and Milo's Pita, this person should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Milo's Pita"}
{'statement': "Someone is looking for an expensive restaurant. Between The Coffee Pocket and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for an expensive restaurant. Between Top Sushi and Edible Arrangements, this person should go to Edible Arrangements.', 'answer': 'Edible Arrangements', 'candidate': 'Top Sushi'}
{'statement': 'Someone is looking for an expensive restaurant. Between Sichuan Landscape Chinese Restaurant and Tian An Cuisine, this person should go to Sichuan Landscape Chinese Restaurant.', 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Tian An Cuisine'}
{'statement': 'Someone is looking for an expensive restaurant. Between Falafel Hut Village and Taste of Greek Cuisine, this person should go to Taste of Greek Cuisine.', 'answer': 'Taste of Greek Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': 'Someone is looking for an expensive restaurant. Between Solero Mediterranean Bakery and Pizzeria Via Mercanti, this person should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone is looking for an expensive restaurant. Between Nook and Druxy's Famous Deli, this person should go to Nook.", 'answer': 'Nook', 'candidate': "Druxy's Famous Deli"}
{'statement': 'Someone is looking for an expensive restaurant. Between Goldstone Noodle Restaurant and Hina Sushi, this person should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone is looking for an expensive restaurant. Between Eggspectation and Smoke's Weinerie, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Smoke's Weinerie"}
{'statement': 'Someone is looking for an expensive restaurant. Between Oxygen Restaurant & Lounge and Pisco 1641, this person should go to Oxygen Restaurant & Lounge.', 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Pisco 1641'}
{'statement': 'Someone is looking for an expensive restaurant. Between Kibo Sushi House and Tim Hortons, this person should go to Kibo Sushi House.', 'answer': 'Kibo Sushi House', 'candidate': 'Tim Hortons'}
{'statement': "Someone is looking for an expensive restaurant. Between Aroma Espresso Bar and Helena's Magic Kitchen, this person should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': "Helena's Magic Kitchen"}
{'statement': 'Someone is looking for an expensive restaurant. Between Freshii and St. Clair Shawarma and Falafel, this person should go to Freshii.', 'answer': 'Freshii', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'Someone is looking for an expensive restaurant. Between Pasta Pantry and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pasta Pantry'}
{'statement': 'Someone is looking for an expensive restaurant. Between KFC and La Cocina De Dona Luz, this person should go to La Cocina De Dona Luz.', 'answer': 'La Cocina De Dona Luz', 'candidate': 'KFC'}
{'statement': "Someone is looking for an expensive restaurant. Between Smoke's Weinerie and Hawthorne Food and Drink, this person should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone is looking for an expensive restaurant. Between Branca and Warung Indonesia D'Eglinton, this person should go to Branca.", 'answer': 'Branca', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'Someone is looking for an expensive restaurant. Between Hapa Toronto and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hapa Toronto'}
{'statement': "Someone is looking for an expensive restaurant. Between Joe Badali's Ristorante Italiano & Bar and Queen Slice, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Queen Slice'}
{'statement': "Someone is looking for an expensive restaurant. Between Milo's Pita and Bao Bao Plus Dim Sum, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Milo's Pita"}
{'statement': 'Someone is looking for an expensive restaurant. Between Solero Mediterranean Bakery and Milestones Restaurants, this person should go to Milestones Restaurants.', 'answer': 'Milestones Restaurants', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone is looking for an expensive restaurant. Between Druxy's Famous Deli and Anatolia Restaurant, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Druxy's Famous Deli"}
{'statement': 'Someone is looking for an expensive restaurant. Between Chick Fiesta and Cake Opera, this person should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Chick Fiesta'}
{'statement': 'Someone is looking for an expensive restaurant. Between Delicious Paradise Kitchen and Marcello’s pizzeria, this person should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': 'Someone is looking for an expensive restaurant. Between Verona Restaurant and Bake Island, this person should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Bake Island'}
{'statement': 'Someone is looking for an expensive restaurant. Between Verona Restaurant and Modo Mio Italian Bistro, this person should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': 'Someone is looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Viccino Pizzeria, this person should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Viccino Pizzeria'}
{'statement': "Someone is looking for an expensive restaurant. Between Druxy's Famous Deli and Paradise Farms Prime Beef Bistro, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Druxy's Famous Deli"}
{'statement': 'Someone is looking for an expensive restaurant. Between Solero Mediterranean Bakery and Aroma Espresso Bar, this person should go to Aroma Espresso Bar.', 'answer': 'Aroma Espresso Bar', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone is looking for an expensive restaurant. Between Cafe Jules and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Cafe Jules'}
{'statement': 'Someone is looking for an expensive restaurant. Between The Empire and LCBO, this person should go to LCBO.', 'answer': 'LCBO', 'candidate': 'The Empire'}
{'statement': 'Someone is looking for an expensive restaurant. Between Sushi World and Verona Restaurant, this person should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Sushi World'}
{'statement': 'Someone is looking for an expensive restaurant. Between JJ Bean and Sushi World, this person should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Sushi World'}
{'statement': 'Someone is looking for an expensive restaurant. Between Lahore Grill & Fast Food and La Pupusa Loka, this person should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'Someone is looking for an expensive restaurant. Between Marcello’s pizzeria and Queen Pita, this person should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Queen Pita'}
{'statement': 'Someone is looking for an expensive restaurant. Between Sizzlers and La Cocina De Dona Luz, this person should go to La Cocina De Dona Luz.', 'answer': 'La Cocina De Dona Luz', 'candidate': 'Sizzlers'}
{'statement': "Someone is looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Sweet Jesus, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Sweet Jesus'}
{'statement': 'Someone is looking for an expensive restaurant. Between Green Room and Nook, this person should go to Nook.', 'answer': 'Nook', 'candidate': 'Green Room'}
{'statement': 'Someone is looking for an expensive restaurant. Between Bake Island and The Duke of Devon, this person should go to The Duke of Devon.', 'answer': 'The Duke of Devon', 'candidate': 'Bake Island'}
{'statement': 'Someone is looking for an expensive restaurant. Between Sushi Time Japanese Restaurant and Ici Bistro, this person should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'Someone is looking for an expensive restaurant. Between Shawarma Twist and Marcello’s pizzeria, this person should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Shawarma Twist'}
{'statement': "Someone is looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Queen Pita, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Queen Pita'}
{'statement': "Someone is looking for an expensive restaurant. Between Sushi Time Japanese Restaurant and McDonald's, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "McDonald's"}
{'statement': 'Someone is looking for an expensive restaurant. Between z-teca Gourmet Burritos and Sushi World, this person should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Sushi World'}
{'statement': 'Someone is looking for an expensive restaurant. Between Lahore Grill & Fast Food and Taste of Greek Cuisine, this person should go to Taste of Greek Cuisine.', 'answer': 'Taste of Greek Cuisine', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'Someone is looking for an expensive restaurant. Between Villa Madina and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Villa Madina'}
{'statement': 'Someone is looking for an expensive restaurant. Between Sky Dragon Chinese Restaurant and Bonne Journee, this person should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': "Someone is looking for an expensive restaurant. Between McDonald's and Bao Bao Plus Dim Sum, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "McDonald's"}
{'statement': 'Someone is looking for an expensive restaurant. Between Shawarma Twist and Taste of Greek Cuisine, this person should go to Taste of Greek Cuisine.', 'answer': 'Taste of Greek Cuisine', 'candidate': 'Shawarma Twist'}
{'statement': 'Someone is looking for an expensive restaurant. Between Branca and Maurya East Indian Roti, this person should go to Branca.', 'answer': 'Branca', 'candidate': 'Maurya East Indian Roti'}
{'statement': "Someone is looking for an expensive restaurant. Between Harvey's and Sichuan Landscape Chinese Restaurant, this person should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': "Harvey's"}
{'statement': "Someone is looking for an expensive restaurant. Between Tik Talk Cafe and Milo's Pita, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Milo's Pita"}
{'statement': 'Someone is looking for an expensive restaurant. Between Cake Opera and The Duke of Devon, this person should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'The Duke of Devon'}
{'statement': 'Someone is looking for an expensive restaurant. Between Popeyes Louisiana Kitchen and Thompson Rooftop, this person should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': 'Someone is looking for an expensive restaurant. Between Grappa Ristorante and Green Grotto, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Green Grotto'}
{'statement': 'Someone is looking for an expensive restaurant. Between Tim Hortons and Freshii, this person should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Tim Hortons'}
{'statement': 'Someone is looking for an expensive restaurant. Between Basil Express Restaurant and Queen Slice, this person should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Slice'}
{'statement': 'Someone is looking for an expensive restaurant. Between Sizzlers and Ciao Europa wine bar, this person should go to Ciao Europa wine bar.', 'answer': 'Ciao Europa wine bar', 'candidate': 'Sizzlers'}
{'statement': 'Someone is looking for an expensive restaurant. Between Aris Place and Cake Opera, this person should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Aris Place'}
{'statement': 'Someone is looking for an expensive restaurant. Between Banjara Indian Cuisine and Verona Restaurant, this person should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Banjara Indian Cuisine'}
{'statement': 'Someone is looking for an expensive restaurant. Between Sushi Time Japanese Restaurant and Bonne Journee, this person should go to Sushi Time Japanese Restaurant.', 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'Bonne Journee'}
{'statement': 'Someone is looking for an expensive restaurant. Between Capitol Trattoria Pizzeria and Goldstone Noodle Restaurant, this person should go to Capitol Trattoria Pizzeria.', 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone is looking for an expensive restaurant. Between KFC and Assembly Chef's Hall, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'KFC'}
{'statement': 'Someone is looking for an expensive restaurant. Between Thai 4 You Restaurant and Eastern legend, this person should go to Thai 4 You Restaurant.', 'answer': 'Thai 4 You Restaurant', 'candidate': 'Eastern legend'}
{'statement': "Someone is looking for an expensive restaurant. Between The Duke of Devon and Smoke's Weinerie, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Smoke's Weinerie"}
{'statement': 'Someone is looking for an expensive restaurant. Between Lebanese Bakery and Sushi World, this person should go to Lebanese Bakery.', 'answer': 'Lebanese Bakery', 'candidate': 'Sushi World'}
{'statement': 'Someone is looking for an expensive restaurant. Between Green Room and Banjara Indian Cuisine, this person should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Room'}
{'statement': "Someone is looking for an expensive restaurant. Between Assembly Chef's Hall and Pizza Pizza, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Pizza Pizza'}
{'statement': 'Someone is looking for an expensive restaurant. Between Tortería San Cosme and Just Soups Take Out & Catering, this person should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone is looking for an expensive restaurant. Between Supermodel Pizza and Assembly Chef's Hall, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Supermodel Pizza'}
{'statement': "Someone is looking for an expensive restaurant. Between Druxy's Famous Deli and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Druxy's Famous Deli"}
{'statement': 'Someone is looking for an expensive restaurant. Between LCBO and Queen Slice, this person should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Queen Slice'}
{'statement': "Someone is looking for an expensive restaurant. Between Big Al's Diner and Pisco 1641, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': "Big Al's Diner"}
{'statement': "Someone is looking for an expensive restaurant. Between Farmacia Health Bar and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone is looking for an expensive restaurant. Between Mamma's Pizza and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Mamma's Pizza"}
{'statement': 'Someone is looking for an expensive restaurant. Between Thompson Rooftop and Kairali - Taste of Kerala, this person should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'Someone is looking for an expensive restaurant. Between Tortería San Cosme and Queen Slice, this person should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Queen Slice'}
{'statement': 'Someone is looking for an expensive restaurant. Between The Coffee Pocket and Eggspectation, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for an expensive restaurant. Between Eggspectation and Bagel Nash, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Bagel Nash'}
{'statement': 'Someone is looking for an expensive restaurant. Between Farmacia Health Bar and Grappa Ristorante, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone is looking for an expensive restaurant. Between Smoke's Weinerie and Watson's, this person should go to Watson's.", 'answer': "Watson's", 'candidate': "Smoke's Weinerie"}
{'statement': "Someone is looking for an expensive restaurant. Between Verona Restaurant and Watson's, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Watson's"}
{'statement': 'Someone is looking for an expensive restaurant. Between Pisco 1641 and Aris Place, this person should go to Pisco 1641.', 'answer': 'Pisco 1641', 'candidate': 'Aris Place'}
{'statement': 'Someone is looking for an expensive restaurant. Between Oxygen Restaurant & Lounge and Villa Madina, this person should go to Oxygen Restaurant & Lounge.', 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Villa Madina'}
{'statement': "Someone is looking for an expensive restaurant. Between The Duke of Devon and McDonald's, this person should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "McDonald's"}
{'statement': 'Someone is looking for an expensive restaurant. Between Eastern legend and Itamae Ayce Sushi, this person should go to Itamae Ayce Sushi.', 'answer': 'Itamae Ayce Sushi', 'candidate': 'Eastern legend'}
{'statement': 'Someone is looking for an expensive restaurant. Between Scaddabush Italian Kitchen & Bar and Bake Island, this person should go to Scaddabush Italian Kitchen & Bar.', 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Bake Island'}
{'statement': 'Someone is looking for an expensive restaurant. Between Chick Fiesta and Branca, this person should go to Branca.', 'answer': 'Branca', 'candidate': 'Chick Fiesta'}
{'statement': "Someone is looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Smoke's Weinerie"}
{'statement': 'Someone is looking for an expensive restaurant. Between Villa Madina and Basha Middle Eastern Grill, this person should go to Basha Middle Eastern Grill.', 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Villa Madina'}
{'statement': 'Someone is looking for an expensive restaurant. Between Pizza Pizza and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Pizza Pizza'}
{'statement': 'Someone is looking for an expensive restaurant. Between Bao Bao Plus Dim Sum and Aris Place, this person should go to Bao Bao Plus Dim Sum.', 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Aris Place'}
{'statement': 'Someone is looking for an expensive restaurant. Between Queen Pita and Eggspectation, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Queen Pita'}
{'statement': "Someone is looking for an expensive restaurant. Between Tian An Cuisine and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Tian An Cuisine'}
{'statement': "Someone is looking for an expensive restaurant. Between Mamma's Pizza and Green Grotto, this person should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': "Mamma's Pizza"}
